排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,38095597
2,2609,陽明,30651418
3,2324,仁寶,28426511
4,2426,鼎元,13702617
5,2886,兆豐金,12920029
6,2892,第一金,12784114
7,2615,萬海,11518471
8,6116,彩晶,11124292
9,2603,長榮,9343268
10,2301,光寶科,8748267
11,2610,華航,8379769
12,2337,旺宏,7830527
13,8112,至上,7547962
14,2353,宏碁,7345719
15,2812,台中銀,7127280
16,2618,長榮航,6462699
17,3045,台灣大,5735361
18,2637,慧洋-KY,5544206
19,1605,華新,4880699
20,1216,統一,4808110
21,3006,晶豪科,3789454
22,2449,京元電子,3722519
23,2312,金寶,3669414
24,2515,中工,3522221
25,3706,神達,3241595
26,2009,第一銅,3108016
27,6226,光鼎,2919981
28,8150,南茂,2799117
29,8271,宇瞻,2500331
30,2880,華南金,2438980
