排名,證券代號,證券名稱,外資買賣超股數
1,2887,台新新光金,47477669
2,2303,聯電,35293240
3,1314,中石化,34370938
4,2883,凱基金,24649041
5,2834,臺企銀,19913948
6,2884,玉山金,14073484
7,1717,長興,13846061
8,2105,正新,13642826
9,2002,中鋼,13479338
10,2324,仁寶,12931771
11,2609,陽明,12552534
12,2812,台中銀,12212842
13,1718,中纖,11173500
14,2615,萬海,10357515
15,2882,國泰金,10200458
16,2634,漢翔,9399129
17,1402,遠東新,9228182
18,1216,統一,8739032
19,9904,寶成,8216784
20,1313,聯成,7969500
21,1101,台泥,7738279
22,2353,宏碁,6948361
23,2885,元大金,6786045
24,2603,長榮,6656896
25,4989,榮科,6372467
26,2881,富邦金,6328125
27,1312,國喬,5816073
28,1909,榮成,5814000
29,2323,中環,5790999
30,2845,遠東銀,5368500
