排名,證券代號,證券名稱,外資買賣超股數
1,3231,緯創,-33754076
2,3481,群創,-30148089
3,1409,新纖,-20633906
4,2887,台新新光金,-15043708
5,9904,寶成,-10915900
6,2801,彰銀,-10643004
7,2303,聯電,-10293057
8,2615,萬海,-9470054
9,9105,泰金寶-DR,-9151900
10,2308,台達電,-8707912
11,2542,興富發,-8067570
12,2324,仁寶,-7696194
13,2356,英業達,-7101355
14,3376,新日興,-6986642
15,2426,鼎元,-6582775
16,6505,台塑化,-6548523
17,2377,微星,-5707454
18,2344,華邦電,-5588552
19,2610,華航,-4801834
20,3042,晶技,-4670872
21,2889,國票金,-4615808
22,2337,旺宏,-4327455
23,1314,中石化,-4181316
24,6116,彩晶,-3899600
25,1605,華新,-3793489
26,1301,台塑,-3660095
27,2890,永豐金,-3633375
28,8926,台汽電,-3582048
29,2618,長榮航,-3457627
30,2317,鴻海,-3394986
