排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-87947500
2,2337,旺宏,-54162831
3,2312,金寶,-33120413
4,2884,玉山金,-30257446
5,2886,兆豐金,-26839049
6,8150,南茂,-21119166
7,2890,永豐金,-18369976
8,2324,仁寶,-17691267
9,2880,華南金,-17042840
10,2344,華邦電,-16919451
11,6116,彩晶,-14464397
12,6282,康舒,-13692086
13,3231,緯創,-13679981
14,4904,遠傳,-13058817
15,2408,南亞科,-10245685
16,2002,中鋼,-9129577
17,9904,寶成,-8839000
18,2481,強茂,-8159647
19,4958,臻鼎-KY,-7349498
20,9105,泰金寶-DR,-6976490
21,2633,台灣高鐵,-6921596
22,1303,南亞,-6802796
23,8105,凌巨,-6433000
24,2313,華通,-6246691
25,1409,新纖,-6164955
26,2330,台積電,-6103672
27,1402,遠東新,-6008522
28,8926,台汽電,-5740758
29,2382,廣達,-5590595
30,1313,聯成,-5425371
