排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,163249451
2,2317,鴻海,80338931
3,2324,仁寶,77121908
4,2409,友達,66341339
5,1303,南亞,59319659
6,2344,華邦電,53583084
7,1402,遠東新,37671325
8,1326,台化,30567322
9,2610,華航,29401381
10,2313,華通,28289321
11,2881,富邦金,26713854
12,1605,華新,25368746
13,3706,神達,19912426
14,2408,南亞科,19483386
15,2882,國泰金,17605309
16,3231,緯創,16846337
17,1101,台泥,15019359
18,2330,台積電,13284272
19,2890,永豐金,13119336
20,2367,燿華,12742173
21,1301,台塑,11789356
22,2449,京元電子,11362092
23,2884,玉山金,10699960
24,8039,台虹,9225925
25,2337,旺宏,8184461
26,2609,陽明,7588362
27,2885,元大金,7575074
28,2377,微星,7206471
29,2371,大同,7068103
30,2357,華碩,5965159
