排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-117423914
2,2344,華邦電,-103086815
3,2886,兆豐金,-37388242
4,4904,遠傳,-27348402
5,2324,仁寶,-24813052
6,1101,台泥,-20897345
7,2880,華南金,-18882094
8,5876,上海商銀,-16607180
9,3231,緯創,-16561241
10,2845,遠東銀,-15070172
11,2317,鴻海,-14847166
12,2892,第一金,-12555033
13,2303,聯電,-11971079
14,1402,遠東新,-11916798
15,2356,英業達,-11814700
16,2542,興富發,-10021437
17,2633,台灣高鐵,-9216428
18,6116,彩晶,-9031941
19,9904,寶成,-9028000
20,1216,統一,-8837347
21,2332,友訊,-8502334
22,2884,玉山金,-7895955
23,2855,統一證,-7727019
24,6153,嘉聯益,-7659778
25,4958,臻鼎-KY,-7287098
26,1708,東鹼,-6580000
27,5880,合庫金,-5832786
28,2327,國巨*,-5657884
29,1303,南亞,-5341770
30,2891,中信金,-5117319
