排名,證券代號,證券名稱,外資買賣超股數
1,2618,長榮航,58019569
2,2891,中信金,41021324
3,2332,友訊,22426474
4,2610,華航,21428258
5,4958,臻鼎-KY,21044750
6,2634,漢翔,15428471
7,5876,上海商銀,12298208
8,2347,聯強,11472068
9,5880,合庫金,10121230
10,3045,台灣大,9723733
11,6505,台塑化,8886683
12,1301,台塑,8131428
13,2313,華通,7840358
14,3033,威健,7606000
15,1709,和益,6524231
16,3704,合勤控,6467350
17,2377,微星,6337460
18,2359,所羅門,6054177
19,3576,聯合再生,5615405
20,2301,光寶科,5608280
21,2845,遠東銀,5341766
22,1216,統一,5321896
23,2303,聯電,5168504
24,2882,國泰金,5057316
25,2890,永豐金,4802758
26,1326,台化,4752503
27,2105,正新,4694066
28,2371,大同,4584575
29,3016,嘉晶,4477362
30,2603,長榮,4445246
