證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00953B,群益優選非投等債,19543125,42000,19501125,0,0,0,0,0,0,6676544,0,0,0,10797544,4121000,6676544,26177669
00400A,主動國泰動能高息,19755300,6383868,13371432,0,0,0,0,0,0,3557507,0,0,0,14760756,11203249,3557507,16928939
2313,華通,33973472,20726499,13246973,0,0,0,2524000,227000,2297000,668957,177000,219000,-42000,971485,260528,710957,16212930
00990A,主動元大AI新經濟,14728851,1733302,12995549,0,0,0,0,0,0,-3473913,61000,0,61000,3111204,6646117,-3534913,9521636
00997A,主動群益美國增長,12550600,1463000,11087600,0,0,0,0,0,0,713435,0,0,0,4159840,3446405,713435,11801035
009820,元大納斯達克精選,11855000,1248000,10607000,0,0,0,0,0,0,7860687,653000,0,653000,8563000,1355313,7207687,18467687
00992A,主動群益科技創新,25593552,15265377,10328175,0,0,0,0,1200000,-1200000,2344132,5000,480000,-475000,11525849,8706717,2819132,11472307
2355,敬鵬,13303100,2982000,10321100,0,0,0,0,6000,-6000,166698,84000,50000,34000,251703,119005,132698,10481798
2485,兆赫,19254575,11166459,8088116,0,0,0,0,0,0,464208,576000,215000,361000,165189,61981,103208,8552324
00991A,主動復華未來50,29985160,21983000,8002160,0,0,0,0,0,0,-15872489,0,800000,-800000,8206322,23278811,-15072489,-7870329
2615,萬海,10672600,3605776,7066824,0,0,0,0,0,0,87928,18000,67000,-49000,267233,130305,136928,7154752
00988A,主動統一全球創新,18448900,11421000,7027900,0,0,0,0,0,0,-43911789,0,0,0,4404000,48315789,-43911789,-36883889
009816,凱基台灣TOP50,19426725,12418622,7008103,0,0,0,0,0,0,-46900069,0,0,0,25631490,72531559,-46900069,-39891966
2027,大成鋼,19946535,13249219,6697316,0,0,0,100000,797000,-697000,-647012,28048,403000,-374952,177856,449916,-272060,5353304
2409,友達,77426478,71128525,6297953,0,0,0,7000,0,7000,738886,542000,855000,-313000,3614951,2563065,1051886,7043839
2891,中信金,21608038,15471305,6136733,0,0,0,0,3561237,-3561237,659146,20000,8000,12000,859554,212408,647146,3234642
3045,台灣大,9531529,3680858,5850671,0,0,0,3000,183000,-180000,212836,154000,0,154000,94411,35575,58836,5883507
2542,興富發,10513090,5175735,5337355,0,0,0,29500,0,29500,242937,98000,12000,86000,295572,138635,156937,5609792
8028,昇陽半導體,10794973,5627562,5167411,0,0,0,0,40000,-40000,-363345,106900,100000,6900,85416,455661,-370245,4764066
6285,啟碁,12490755,7726970,4763785,0,0,0,49000,150000,-101000,82568,67000,237531,-170531,563326,310227,253099,4745353
0052,富邦科技,8248837,4213337,4035500,0,0,0,0,100000,-100000,-4116640,44000,2676013,-2632013,2406020,3890647,-1484627,-181140
00922,國泰台灣領袖50,6532699,2550667,3982032,0,0,0,0,0,0,-1375396,0,0,0,3569631,4945027,-1375396,2606636
3042,晶技,7340200,3668000,3672200,0,0,0,0,14000,-14000,-121254,71000,251896,-180896,258409,198767,59642,3536946
5871,中租-KY,13187789,9577636,3610153,0,0,0,1000,210437,-209437,20625,0,19000,-19000,62662,23037,39625,3421341
2312,金寶,9770089,6211000,3559089,0,0,0,0,0,0,154674,159000,133000,26000,449051,320377,128674,3713763
3576,聯合再生,4459014,1105285,3353729,0,0,0,0,0,0,-14495,12000,21000,-9000,0,5495,-5495,3339234
2367,燿華,19666090,16421700,3244390,0,0,0,0,0,0,447306,492000,484000,8000,504349,65043,439306,3691696
00662,富邦NASDAQ,3826544,751000,3075544,0,0,0,0,0,0,2635741,0,0,0,8132000,5496259,2635741,5711285
2324,仁寶,28914190,25855569,3058621,0,0,0,21000,20000000,-19979000,1815581,94000,82436,11564,2263000,458983,1804017,-15104798
2851,中再保,3786399,841000,2945399,0,0,0,0,0,0,-1099,13000,8099,4901,0,6000,-6000,2944300
