排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-88041079
2,2344,華邦電,-42266711
3,1101,台泥,-26519711
4,2002,中鋼,-13084990
5,2884,玉山金,-13037488
6,3231,緯創,-13030814
7,2330,台積電,-11191022
8,1301,台塑,-9538584
9,2408,南亞科,-8623959
10,9105,泰金寶-DR,-6516601
11,2337,旺宏,-6086062
12,1326,台化,-5645180
13,2049,上銀,-5345259
14,2609,陽明,-4253885
15,2801,彰銀,-4173657
16,1303,南亞,-4077521
17,6505,台塑化,-3621850
18,2603,長榮,-3593482
19,2542,興富發,-3578450
20,3706,神達,-3504190
21,3006,晶豪科,-3097002
22,2426,鼎元,-3067900
23,3029,零壹,-2652882
24,2605,新興,-2425291
25,2610,華航,-2382756
26,9904,寶成,-2377938
27,1717,長興,-2359819
28,2890,永豐金,-2211161
29,3016,嘉晶,-2014321
30,2027,大成鋼,-1694695
