排名,證券代號,證券名稱,外資買賣超股數
1,2344,華邦電,-49530918
2,2618,長榮航,-38676291
3,2409,友達,-31128755
4,2880,華南金,-24246323
5,2382,廣達,-24200224
6,2105,正新,-20965656
7,2886,兆豐金,-15377709
8,2408,南亞科,-14402588
9,4938,和碩,-14002840
10,2313,華通,-12351104
11,3231,緯創,-11394797
12,2324,仁寶,-10610948
13,2347,聯強,-9826553
14,2891,中信金,-9800387
15,6005,群益證,-9156000
16,8105,凌巨,-8928600
17,9904,寶成,-8791000
18,2542,興富發,-8583250
19,2323,中環,-7659609
20,8150,南茂,-7401323
21,5871,中租-KY,-7317779
22,6282,康舒,-7260751
23,2337,旺宏,-6930989
24,2353,宏碁,-6878364
25,1216,統一,-6640059
26,3059,華晶科,-6470386
27,2603,長榮,-6268756
28,3714,富采,-5945251
29,1102,亞泥,-5668380
30,2327,國巨*,-5655076
