排名,證券代號,證券名稱,外資買賣超股數
1,2834,臺企銀,-19378086
2,3481,群創,-16944973
3,6770,力積電,-16245709
4,2409,友達,-14772865
5,2481,強茂,-14570120
6,2603,長榮,-8088631
7,4958,臻鼎-KY,-7534100
8,2801,彰銀,-6872322
9,1303,南亞,-5624819
10,1101,台泥,-5210414
11,3006,晶豪科,-5051999
12,2449,京元電子,-4993569
13,2027,大成鋼,-4372029
14,1314,中石化,-3873634
15,8039,台虹,-3816273
16,3711,日月光投控,-3581433
17,2887I,台新新光辛特,-3498000
18,1312,國喬,-2967444
19,2542,興富發,-2882898
20,2618,長榮航,-2466867
21,8150,南茂,-2380533
22,2323,中環,-2345678
23,3036,文曄,-2273367
24,1326,台化,-2269633
25,5608,四維航,-2199366
26,2486,一詮,-2088909
27,2498,宏達電,-2077281
28,6257,矽格,-2040429
29,2897,王道銀行,-1938000
30,6505,台塑化,-1903940
