排名,證券代號,證券名稱,外資買賣超股數
1,2618,長榮航,22000373
2,1216,統一,20335509
3,3231,緯創,17158210
4,2887,台新新光金,14196618
5,1402,遠東新,14004021
6,2409,友達,13144500
7,2002,中鋼,12050525
8,8112,至上,8478001
9,2867,三商壽,6380713
10,2891,中信金,6209635
11,2610,華航,6171434
12,6213,聯茂,5801407
13,2014,中鴻,5766000
14,2606,裕民,5583726
15,2882,國泰金,4316898
16,2354,鴻準,4273007
17,2031,新光鋼,4147307
18,6269,台郡,3972980
19,2049,上銀,3854924
20,1101,台泥,3459974
21,2881,富邦金,3370012
22,4763,材料*-KY,3285176
23,5880,合庫金,3220840
24,2010,春源,3085110
25,2451,創見,3001646
26,2006,東和鋼鐵,2988350
27,2034,允強,2946492
28,2885,元大金,2635069
29,8422,可寧衛*,2605735
30,9945,潤泰新,2558147
