排名,證券代號,證券名稱,外資買賣超股數
1,2002,中鋼,-43106304
2,2337,旺宏,-40486441
3,2886,兆豐金,-38244125
4,2801,彰銀,-33188800
5,2892,第一金,-27091702
6,1101,台泥,-24046618
7,2344,華邦電,-21920097
8,2890,永豐金,-20955044
9,6770,力積電,-19909530
10,2884,玉山金,-19768568
11,2408,南亞科,-18345212
12,2891,中信金,-14714210
13,2610,華航,-13231789
14,2412,中華電,-11021211
15,4904,遠傳,-11002791
16,2618,長榮航,-10225009
17,2542,興富發,-9743000
18,2834,臺企銀,-9717881
19,8112,至上,-9262956
20,2885,元大金,-8587287
21,1402,遠東新,-8561754
22,2633,台灣高鐵,-8450446
23,3045,台灣大,-8399777
24,3702,大聯大,-8187840
25,3016,嘉晶,-8112162
26,9904,寶成,-8044085
27,3706,神達,-7878982
28,2845,遠東銀,-6616701
29,5876,上海商銀,-5540802
30,2105,正新,-5243656
