排名,證券代號,證券名稱,外資買賣超股數
1,2618,長榮航,45290931
2,1301,台塑,37604287
3,3481,群創,37538088
4,1402,遠東新,22684364
5,2891,中信金,18799077
6,2303,聯電,15733355
7,1326,台化,13945417
8,6505,台塑化,11284340
9,3576,聯合再生,11112728
10,8039,台虹,10613132
11,6116,彩晶,8803671
12,2027,大成鋼,8302919
13,2610,華航,7516852
14,3045,台灣大,7364225
15,2867,三商壽,5690000
16,2481,強茂,5496070
17,3034,聯詠,5435218
18,2484,希華,4942720
19,2327,國巨*,4604850
20,2367,燿華,4478962
21,2472,立隆電,4463837
22,5876,上海商銀,4260052
23,3090,日電貿,4216118
24,2002,中鋼,4197916
25,2633,台灣高鐵,4055478
26,6213,聯茂,3988829
27,2426,鼎元,3734157
28,3042,晶技,3298163
29,2845,遠東銀,3127736
30,5880,合庫金,2992937
