排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,-45460304
2,6770,力積電,-31701807
3,2337,旺宏,-15803449
4,3481,群創,-9933250
5,3231,緯創,-9767732
6,2324,仁寶,-9312180
7,2344,華邦電,-8995425
8,1605,華新,-8124814
9,2886,兆豐金,-7931654
10,2633,台灣高鐵,-7342490
11,2317,鴻海,-7229697
12,2464,盟立,-7195176
13,2855,統一證,-6907000
14,2330,台積電,-6876860
15,1101,台泥,-6404053
16,2327,國巨*,-6305815
17,2882,國泰金,-5810605
18,6239,力成,-5789066
19,2402,毅嘉,-5278000
20,5876,上海商銀,-4299787
21,6209,今國光,-3900382
22,1409,新纖,-3486800
23,3576,聯合再生,-3280073
24,5871,中租-KY,-3206610
25,2406,國碩,-2994991
26,2646,星宇航空,-2930000
27,1907,永豐餘,-2859823
28,2881,富邦金,-2816321
29,4915,致伸,-2749906
30,3019,亞光,-2732157
