排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-53685227
2,2317,鴻海,-15521575
3,2303,聯電,-11797235
4,2324,仁寶,-11552506
5,3231,緯創,-9585546
6,2834,臺企銀,-8543488
7,2002,中鋼,-7754839
8,2605,新興,-6120075
9,2337,旺宏,-4924391
10,2352,佳世達,-4162000
11,2426,鼎元,-3857372
12,2801,彰銀,-3715552
13,4763,材料*-KY,-3621637
14,3706,神達,-3537000
15,1101,台泥,-3444974
16,1718,中纖,-3381466
17,3049,精金,-3204726
18,6116,彩晶,-3000212
19,8112,至上,-2823327
20,2369,菱生,-2817259
21,8150,南茂,-2782992
22,2451,創見,-2637690
23,2344,華邦電,-2347891
24,1314,中石化,-2183081
25,3605,宏致,-2114029
26,4938,和碩,-1917993
27,2308,台達電,-1875313
28,2312,金寶,-1830100
29,2449,京元電子,-1828531
30,6919,康霈*,-1770943
