證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
3481,群創,324235819,137476850,186758969,0,0,0,160800,3884,156916,22004327,16191988,1707000,14484988,9570265,2050926,7519339,208920212,
00919,群益台灣精選高息,89368174,32574057,56794117,0,0,0,0,0,0,91076598,0,0,0,93586682,2510084,91076598,147870715,
00981A,主動統一台股增長,116379637,28247853,88131784,0,0,0,0,0,0,-8754881,3372000,1206000,2166000,14041178,24962059,-10920881,79376903,
00940,元大台灣價值高息,33092000,1300983,31791017,0,0,0,0,0,0,25624430,0,1700000,-1700000,31786430,4462000,27324430,57415447,
2344,華邦電,127288528,92709979,34578549,0,0,0,13522000,235031,13286969,2292304,1898998,495811,1403187,1643734,754617,889117,50157822,
00992A,主動群益科技創新,55744310,7579000,48165310,0,0,0,0,0,0,-189153,155000,0,155000,12726255,13070408,-344153,47976157,
0056,元大高股息,49582531,9184935,40397596,0,0,0,1030000,0,1030000,1852273,5000,118000,-113000,2876662,911389,1965273,43279869,
00918,大華優利高填息30,22124000,67200,22056800,0,0,0,0,0,0,19553034,0,0,0,21404034,1851000,19553034,41609834,
00929,復華台灣科技優息,40791201,9682948,31108253,0,0,0,0,0,0,8841106,100000,0,100000,16427416,7686310,8741106,39949359,
6770,力積電,80979601,48785330,32194271,0,0,0,0,0,0,1815563,1233995,179087,1054908,1222379,461724,760655,34009834,
2892,第一金,50192275,22493142,27699133,0,0,0,305000,306324,-1324,237043,196656,261000,-64344,314387,13000,301387,27934852,
6116,彩晶,30991000,6124000,24867000,0,0,0,0,0,0,621706,217000,51000,166000,494706,39000,455706,25488706,
2883,凱基金,55879081,31613336,24265745,0,0,0,861000,507193,353807,41855,122063,386000,-263937,831898,526106,305792,24661407,
2317,鴻海,70988387,49035174,21953213,0,0,0,1704000,6310,1697690,145190,76000,217989,-141989,1493525,1206346,287179,23796093,
1605,華新,39702849,18698683,21004166,0,0,0,0,69,-69,2591472,1003000,43000,960000,1988300,356828,1631472,23595569,
2408,南亞科,66650549,56295275,10355274,0,0,0,10543001,2162,10540839,211127,452350,317181,135169,1174206,1098248,75958,21107240,
