證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2609,陽明,80801800,43643064,37158736,0,0,0,7000,0,7000,3690476,3597992,1300010,2297982,2497494,1105000,1392494,40856212
2883,凱基金,45064836,8428600,36636236,0,0,0,0,259781,-259781,37632,554045,41000,513045,559137,1034550,-475413,36414087
1402,遠東新,21484059,6393300,15090759,0,0,0,11110000,0,11110000,-615620,437000,0,437000,199584,1252204,-1052620,25585139
2892,第一金,27934261,7459941,20474320,0,0,0,0,45111,-45111,-59707,132000,0,132000,56853,248560,-191707,20369502
2887,台新新光金,40648606,19631744,21016862,0,0,0,0,108603,-108603,-690063,291000,90415,200585,542227,1432875,-890648,20218196
2881,富邦金,30067813,10437564,19630249,0,0,0,0,3062,-3062,-332067,148899,40000,108899,623429,1064395,-440966,19295120
2886,兆豐金,23496087,4259212,19236875,0,0,0,40000,54339,-14339,57001,159000,58107,100893,175824,219716,-43892,19279537
2615,萬海,34613186,18374462,16238724,0,0,0,829000,0,829000,1456385,554192,55000,499192,1445327,488134,957193,18524109
2344,華邦電,51607056,36685361,14921695,0,0,0,54000,44136,9864,964120,1442648,806408,636240,723937,396057,327880,15895679
2002,中鋼,20029422,7126687,12902735,0,0,0,0,0,0,1114044,539000,10000,529000,959429,374385,585044,14016779
1314,中石化,19463152,6964325,12498827,0,0,0,0,0,0,899147,916147,17000,899147,0,0,0,13397974
2303,聯電,28614079,17726486,10887593,0,0,0,2503000,1997282,505718,997187,864000,213000,651000,463402,117215,346187,12390498
2618,長榮航,22203542,11370000,10833542,0,0,0,15000,0,15000,253215,64000,4120,59880,319335,126000,193335,11101757
1216,統一,12900364,2889481,10010883,0,0,0,0,15814,-15814,242428,201000,0,201000,95834,54406,41428,10237497
2451,創見,10980225,1834668,9145557,0,0,0,0,9000,-9000,306247,187545,16039,171506,180770,46029,134741,9442804
2610,華航,18745062,9337740,9407322,0,0,0,22000,0,22000,-29128,86000,175000,-89000,146681,86809,59872,9400194
2882,國泰金,15129114,5608103,9521011,0,0,0,0,3501,-3501,-346087,172000,20000,152000,196583,694670,-498087,9171423
2603,長榮,17320683,10002027,7318656,0,0,0,204000,1399,202601,199137,447000,322000,125000,405917,331780,74137,7720394
2408,南亞科,24780068,18747304,6032764,0,0,0,305000,63419,241581,1077992,1208705,238719,969986,284591,176585,108006,7352337
5871,中租-KY,8405750,1145526,7260224,0,0,0,5000,0,5000,-504459,21000,500000,-479000,18474,43933,-25459,6760765
1102,亞泥,13945285,6296955,7648330,0,0,0,18000,0,18000,-1124660,50000,1129000,-1079000,8638,54298,-45660,6541670
1326,台化,11291950,5170953,6120997,0,0,0,0,0,0,414346,95000,22000,73000,556383,215037,341346,6535343
2330,台積電,13111589,7316543,5795046,0,0,0,214708,30820,183888,456923,488720,81357,407363,251419,201859,49560,6435857
2426,鼎元,7955280,1682581,6272699,0,0,0,0,0,0,-4535,21000,4000,17000,122795,144330,-21535,6268164
2542,興富發,7538159,1636000,5902159,0,0,0,66000,202000,-136000,247889,142000,0,142000,119922,14033,105889,6014048
3045,台灣大,9538396,3535826,6002570,0,0,0,35000,2519,32481,-55077,43185,30000,13185,738,69000,-68262,5979974
2880,華南金,13288141,7296574,5991567,0,0,0,0,3408,-3408,-205870,102000,0,102000,285852,593722,-307870,5782289
2801,彰銀,11159009,5726387,5432622,0,0,0,0,0,0,38000,119000,0,119000,0,81000,-81000,5470622
2606,裕民,8502726,4003020,4499706,0,0,0,0,0,0,809432,569000,49180,519820,353496,63884,289612,5309138
5880,合庫金,10899920,5616923,5282997,0,0,0,0,3939,-3939,-118533,104000,0,104000,11607,234140,-222533,5160525
2484,希華,8953501,4119309,4834192,0,0,0,0,0,0,112048,100571,3000,97571,45972,31495,14477,4946240
2889,國票金,4920682,174001,4746681,0,0,0,0,0,0,23000,58000,0,58000,0,35000,-35000,4769681
1301,台塑,10045405,5808612,4236793,0,0,0,0,0,0,390198,297000,36000,261000,310198,181000,129198,4626991
2885,元大金,19573763,14457630,5116133,0,0,0,80000,349209,-269209,-281600,9000,42557,-33557,68131,316174,-248043,4565324
2891,中信金,37181644,33024953,4156691,0,0,0,12679,56494,-43815,151479,187000,5385,181615,120964,151100,-30136,4264355
2637,慧洋-KY,8334915,4338510,3996405,0,0,0,0,179000,-179000,145090,68970,12349,56621,181640,93171,88469,3962495
2356,英業達,8929037,5176894,3752143,0,0,0,27000,174000,-147000,-87315,46000,28199,17801,79563,184679,-105116,3517828
5876,上海商銀,5315177,1954996,3360181,0,0,0,42000,42030,-30,116114,157000,200,156800,42314,83000,-40686,3476265
1709,和益,4573569,1188221,3385348,0,0,0,0,0,0,21959,50000,29000,21000,12992,12033,959,3407307
1718,中纖,5660768,2504188,3156580,0,0,0,0,0,0,-35000,61000,96000,-35000,0,0,0,3121580
1710,東聯,4249966,1319000,2930966,0,0,0,0,0,0,138693,19766,0,19766,123743,4816,118927,3069659
2912,統一超,5042886,2118126,2924760,0,0,0,0,0,0,11827,12000,15000,-3000,15231,404,14827,2936587
2851,中再保,9478104,6875773,2602331,0,0,0,0,0,0,-20930,63000,32000,31000,206438,258368,-51930,2581401
2515,中工,3129302,554000,2575302,0,0,0,0,0,0,-39000,0,14000,-14000,0,25000,-25000,2536302
6505,台塑化,7524166,6079665,1444501,0,0,0,0,421,-421,1061384,457059,48415,408644,750840,98100,652740,2505464
3037,欣興,9579652,7180982,2398670,0,0,0,97550,231484,-133934,202646,237300,152500,84800,416197,298351,117846,2467382
3711,日月光投控,8060064,5644445,2415619,0,0,0,32000,176218,-144218,131713,208000,92442,115558,182965,166810,16155,2403114
2489,瑞軒,9227441,7846575,1380866,0,0,0,0,0,0,1018526,790285,52000,738285,383913,103672,280241,2399392
1808,潤隆,3439937,1455000,1984937,0,0,0,0,0,0,283404,2404,19000,-16596,300000,0,300000,2268341
1605,華新,6317428,4437995,1879433,0,0,0,0,0,0,369901,61000,0,61000,487638,178737,308901,2249334
2104,國際中橡,2565658,403000,2162658,0,0,0,0,0,0,12731,13000,0,13000,0,269,-269,2175389
2812,台中銀,6552380,4496654,2055726,0,0,0,0,0,0,25000,83000,0,83000,0,58000,-58000,2080726
3576,聯合再生,3766167,1754001,2012166,0,0,0,0,0,0,-12000,12000,0,12000,0,24000,-24000,2000166
2903,遠百,2337482,338000,1999482,0,0,0,0,0,0,-4000,16000,20000,-4000,0,0,0,1995482
3702,大聯大,6754002,4997594,1756408,0,0,0,348000,66000,282000,-120499,40000,70000,-30000,83885,174384,-90499,1917909
2890,永豐金,9728158,7447004,2281154,0,0,0,0,388808,-388808,-179405,151000,83134,67866,30430,277701,-247271,1712941
2105,正新,2940241,1342623,1597618,0,0,0,16000,0,16000,84938,82000,11327,70673,42936,28671,14265,1698556
2605,新興,8271500,6441753,1829747,0,0,0,0,0,0,-166232,314000,750000,-436000,491481,221713,269768,1663515
6213,聯茂,14106941,12067726,2039215,0,0,0,131000,0,131000,-537190,586734,1017578,-430844,322504,428850,-106346,1633025
1313,聯成,2298997,720532,1578465,0,0,0,0,0,0,34073,34757,0,34757,3316,4000,-684,1612538
2646,星宇航空,2465266,871000,1594266,0,0,0,0,0,0,4314,38000,0,38000,3715,37401,-33686,1598580
2601,益航,1786000,274000,1512000,0,0,0,0,0,0,60148,60148,0,60148,0,0,0,1572148
2030,彰源,1822397,315843,1506554,0,0,0,0,0,0,3000,3000,0,3000,0,0,0,1509554
2498,宏達電,2071595,669834,1401761,0,0,0,3000,0,3000,101610,28000,43000,-15000,139211,22601,116610,1506371
1440,南紡,1584201,271000,1313201,0,0,0,0,0,0,165850,181612,15001,166611,239,1000,-761,1479051
1229,聯華,1727532,315200,1412332,0,0,0,2000,0,2000,29000,32000,0,32000,5000,8000,-3000,1443332
1907,永豐餘,1636624,236946,1399678,0,0,0,0,0,0,37000,39000,2000,37000,0,0,0,1436678
3450,聯鈞,4927258,4525684,401574,0,0,0,1156000,242000,914000,117578,148575,43000,105575,63704,51701,12003,1433152
6177,達麗,1970090,656402,1313688,0,0,0,0,0,0,118990,120000,1010,118990,0,0,0,1432678
1904,正隆,2346005,964118,1381887,0,0,0,0,0,0,38047,43000,6000,37000,21047,20000,1047,1419934
1101,台泥,22198312,20818849,1379463,0,0,0,0,0,0,9582,91000,13000,78000,213397,281815,-68418,1389045
4967,十銓,2829181,1577001,1252180,0,0,0,0,0,0,83835,15000,31000,-16000,105077,5242,99835,1336015
2845,遠東銀,3507573,3883000,-375427,0,0,0,1340000,0,1340000,331000,383000,0,383000,0,52000,-52000,1295573
3006,晶豪科,3796517,2644875,1151642,0,0,0,4000,0,4000,123969,128501,72033,56468,123952,56451,67501,1279611
1308,亞聚,2060701,799485,1261216,0,0,0,0,0,0,17910,7000,0,7000,10912,2,10910,1279126
1434,福懋,1817877,616953,1200924,0,0,0,0,0,0,22000,22000,0,22000,0,0,0,1222924
2108,南帝,1277415,219000,1058415,0,0,0,0,0,0,92196,36000,0,36000,56486,290,56196,1150611
1312,國喬,2313969,1007000,1306969,0,0,0,0,0,0,-196024,19000,206000,-187000,5976,15000,-9024,1110945
2201,裕隆,2259299,1042433,1216866,0,0,0,3000,0,3000,-118709,47000,173000,-126000,26682,19391,7291,1101157
2897,王道銀行,1273000,237000,1036000,0,0,0,0,0,0,52000,52000,0,52000,0,0,0,1088000
1310,台苯,2110068,1040338,1069730,0,0,0,0,0,0,4549,5000,451,4549,0,0,0,1074279
2633,台灣高鐵,2078000,1163074,914926,0,0,0,63000,0,63000,86000,30000,0,30000,56000,0,56000,1063926
1909,榮成,2501884,1371389,1130495,0,0,0,0,0,0,-81000,49000,130000,-81000,0,0,0,1049495
2014,中鴻,1393103,363123,1029980,0,0,0,0,0,0,18000,18000,0,18000,0,0,0,1047980
9921,巨大,3621650,2649921,971729,0,0,0,0,0,0,75304,79858,9000,70858,16910,12464,4446,1047033
2442,新美齊,1219961,200360,1019601,0,0,0,0,0,0,7000,7000,0,7000,0,0,0,1026601
5521,工信,1484824,550000,934824,0,0,0,0,0,0,44000,44000,0,44000,0,0,0,978824
1305,華夏,1501415,631105,870310,0,0,0,0,0,0,1000,7000,0,7000,7000,13000,-6000,871310
8110,華東,1908000,1086200,821800,0,0,0,1000,0,1000,27119,10000,0,10000,24279,7160,17119,849919
6901,鑽石投資,1190076,349000,841076,0,0,0,0,0,0,3000,9000,6000,3000,0,0,0,844076
2368,金像電,2572949,1814868,758081,0,0,0,147000,83126,63874,11418,88100,52000,36100,210564,235246,-24682,833373
6919,康霈*,4323525,3514747,808778,0,0,0,0,0,0,8678,5000,20000,-15000,57363,33685,23678,817456
1723,中碳,1005927,266008,739919,0,0,0,0,0,0,34733,3000,0,3000,32060,327,31733,774652
1303,南亞,17033736,18151098,-1117362,0,0,0,365000,224808,140192,1747483,1320000,393000,927000,1047456,226973,820483,770313
1711,永光,1648967,968867,680100,0,0,0,0,0,0,79803,0,6000,-6000,128941,43138,85803,759903
2466,冠西電,1414840,661073,753767,0,0,0,0,0,0,5543,11543,2000,9543,0,4000,-4000,759310
2301,光寶科,11235559,10889906,345653,0,0,0,336000,2718,333282,59729,139000,56864,82136,218435,240842,-22407,738664
8422,可寧衛*,2428128,1790001,638127,0,0,0,0,0,0,99108,64000,0,64000,37488,2380,35108,737235
2392,正崴,1290055,662000,628055,0,0,0,0,0,0,92016,15000,29000,-14000,107032,1016,106016,720071
1304,台聚,2298339,931000,1367339,0,0,0,0,0,0,-660270,13000,0,13000,8802,682072,-673270,707069
3056,富華新,1272000,586001,685999,0,0,0,0,0,0,11567,12000,0,12000,0,433,-433,697566
4904,遠傳,3709829,2939399,770430,0,0,0,47000,147651,-100651,16952,37000,0,37000,15952,36000,-20048,686731
2612,中航,1324510,648275,676235,0,0,0,0,0,0,7199,0,0,0,10112,2913,7199,683434
2617,台航,1654188,967250,686938,0,0,0,0,0,0,-4496,5000,0,5000,2331,11827,-9496,682442
2548,華固,1014686,493100,521586,0,0,0,175500,0,175500,-20256,18000,10000,8000,2660,30916,-28256,676830
5607,遠雄港,986791,417617,569174,0,0,0,0,0,0,102000,105000,3000,102000,0,0,0,671174
6005,群益證,2151398,1502000,649398,0,0,0,0,0,0,0,0,0,0,0,0,0,649398
4956,光鋐,1472000,851549,620451,0,0,0,0,0,0,26439,32000,6000,26000,2285,1846,439,646890
1455,集盛,933405,279160,654245,0,0,0,0,0,0,-29529,5547,35000,-29453,153,229,-76,624716
2614,東森,859448,239493,619955,0,0,0,0,0,0,0,0,0,0,0,0,0,619955
2101,南港,933544,334536,599008,0,0,0,0,0,0,11101,11000,0,11000,101,0,101,610109
1717,長興,3016186,2409561,606625,0,0,0,0,0,0,-1680,56000,69000,-13000,63570,52250,11320,604945
2820,華票,625621,60000,565621,0,0,0,0,0,0,18000,18000,0,18000,0,0,0,583621
