證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
3035,智原,1076038,413143,662895,0,0,0,0,0,0,77617,82000,2000,80000,17042,19425,-2383,740512
2103,台橡,1776330,1134191,642139,0,0,0,0,0,0,81462,4877,9000,-4123,85945,360,85585,723601
2360,致茂,2341261,2350312,-9051,0,0,0,719000,3884,715116,15068,80010,67600,12410,112864,110206,2658,721133
2301,光寶科,6858879,5202905,1655974,0,0,0,31000,995952,-964952,28903,228000,263053,-35053,138745,74789,63956,719925
3715,定穎投控,5021477,4610200,411277,0,0,0,0,0,0,294728,42000,24000,18000,380332,103604,276728,706005
3702,大聯大,6568710,3963400,2605310,0,0,0,60000,867000,-807000,-1103348,140000,1167000,-1027000,44664,121012,-76348,694962
1444,力麗,1425046,701000,724046,0,0,0,0,34000,-34000,-6000,0,6000,-6000,0,0,0,684046
6282,康舒,1995800,1403000,592800,0,0,0,21000,0,21000,69852,68000,11000,57000,53524,40672,12852,683652
1612,宏泰,762048,50000,712048,0,0,0,0,9121,-9121,-21981,0,22000,-22000,19,0,19,680946
6191,精成科,957470,284000,673470,0,0,0,14000,0,14000,-19001,0,20000,-20000,3446,2447,999,668469
2355,敬鵬,994000,325000,669000,0,0,0,0,0,0,-2770,4000,5000,-1000,3280,5050,-1770,666230
1316,上曜,1358779,702000,656779,0,0,0,0,0,0,0,0,0,0,0,0,0,656779
2351,順德,1757100,1181000,576100,0,0,0,0,16000,-16000,86150,11025,87000,-75975,184115,21990,162125,646250
2820,華票,846000,178000,668000,0,0,0,0,0,0,-26000,0,26000,-26000,0,0,0,642000
4919,新唐,1088031,456000,632031,0,0,0,0,0,0,5439,13000,15980,-2980,36635,28216,8419,637470
1514,亞力,661302,177087,484215,0,0,0,141000,0,141000,2184,0,2000,-2000,17064,12880,4184,627399
4590,富田-創,722000,105060,616940,0,0,0,0,0,0,367,0,0,0,2427,2060,367,617307
2406,國碩,1041500,409000,632500,0,0,0,0,14000,-14000,-5474,0,5000,-5000,526,1000,-474,613026
