證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2409,友達,144794852,91572135,53222717,0,0,0,14000,35000,-21000,2322410,3823000,2760000,1063000,4632633,3373223,1259410,55524127
2303,聯電,89194207,80242385,8951822,0,0,0,31786000,3877000,27909000,3569325,3387542,815460,2572082,1723358,726115,997243,40430147
6770,力積電,64134876,31482265,32652611,0,0,0,8000,21000,-13000,3410413,2530000,453000,2077000,1717802,384389,1333413,36050024
2834,臺企銀,38498000,11567209,26930791,0,0,0,15000,0,15000,440000,90000,0,90000,467000,117000,350000,27385791
1314,中石化,40627422,15593361,25034061,0,0,0,0,0,0,2277281,2428281,151000,2277281,0,0,0,27311342
2609,陽明,30727157,8871750,21855407,0,0,0,415000,0,415000,896526,720000,1000,719000,264058,86532,177526,23166933
1303,南亞,26032826,31000237,-4967411,0,0,0,23531000,214000,23317000,722608,742045,488000,254045,694377,225814,468563,19072197
6505,台塑化,14991142,6832536,8158606,0,0,0,5451000,0,5451000,1159922,632789,222000,410789,798317,49184,749133,14769528
2371,大同,17022502,3211500,13811002,0,0,0,22000,0,22000,479325,44299,1000,43299,502026,66000,436026,14312327
2884,玉山金,33689493,30239180,3450313,0,0,0,8701000,16000,8685000,526747,920431,771000,149431,636575,259259,377316,12662060
1718,中纖,14153339,2464040,11689299,0,0,0,0,0,0,527273,313349,27000,286349,240924,0,240924,12216572
1101,台泥,18372459,6633406,11739053,0,0,0,66000,0,66000,290817,190612,100000,90612,281205,81000,200205,12095870
3231,緯創,19998725,11172329,8826396,0,0,0,2135000,134000,2001000,743936,503000,232020,270980,586168,113212,472956,11571332
2883,凱基金,30948689,18260974,12687715,0,0,0,153000,2423000,-2270000,842935,706000,0,706000,380969,244034,136935,11260650
2892,第一金,21910130,17585000,4325130,0,0,0,6211000,30000,6181000,411265,701000,626000,75000,433830,97565,336265,10917395
1301,台塑,14686656,5577504,9109152,0,0,0,0,0,0,874762,510343,14000,496343,493653,115234,378419,9983914
2317,鴻海,18538763,9658510,8880253,0,0,0,112104,3000,109104,825876,615000,78345,536655,348176,58955,289221,9815233
2412,中華電,12032718,1988526,10044192,0,0,0,14000,577000,-563000,28000,74000,0,74000,1000,47000,-46000,9509192
6257,矽格,11328034,2783550,8544484,0,0,0,12000,18000,-6000,476380,203275,60070,143205,503384,170209,333175,9014864
1326,台化,14620643,6922126,7698517,0,0,0,0,0,0,951752,524075,20000,504075,507254,59577,447677,8650269
2353,宏碁,11244669,4212587,7032082,0,0,0,814000,0,814000,276286,348000,243000,105000,317204,145918,171286,8122368
2382,廣達,9862969,5073410,4789559,0,0,0,3418000,378000,3040000,145000,249000,92000,157000,42000,54000,-12000,7974559
2610,華航,9476570,3599000,5877570,0,0,0,1218000,0,1218000,441266,914000,786000,128000,351266,38000,313266,7536836
5880,合庫金,13532613,6352075,7180538,0,0,0,76000,0,76000,257630,141000,739,140261,118369,1000,117369,7514168
2605,新興,8562908,1993580,6569328,0,0,0,0,0,0,824162,459000,4000,455000,383292,14130,369162,7393490
2891,中信金,33111958,29544829,3567129,0,0,0,5719000,2021000,3698000,-3710,632000,480000,152000,254709,410419,-155710,7261419
2615,萬海,9321083,4349866,4971217,0,0,0,0,0,0,2054885,581648,0,581648,1641311,168074,1473237,7026102
2489,瑞軒,31044200,25309238,5734962,0,0,0,0,0,0,1186619,1137423,693000,444423,1079285,337089,742196,6921581
2618,長榮航,12458844,8511000,3947844,0,0,0,2651000,10000,2641000,227831,710000,541000,169000,165832,107001,58831,6816675
1312,國喬,8858680,2818000,6040680,0,0,0,0,0,0,586176,350962,0,350962,238789,3575,235214,6626856
3702,大聯大,8596665,3636299,4960366,0,0,0,787000,6000,781000,579784,362816,210395,152421,484574,57211,427363,6321150
2886,兆豐金,14440827,12690414,1750413,0,0,0,3736000,21000,3715000,471067,832013,666273,165740,556327,251000,305327,5936480
2515,中工,8955496,3131152,5824344,0,0,0,0,9000,-9000,30637,12000,14000,-2000,32637,0,32637,5845981
9904,寶成,7926740,5483452,2443288,0,0,0,3027000,0,3027000,-5861,34000,0,34000,93000,132861,-39861,5464427
1409,新纖,7807441,2166492,5640949,0,0,0,0,0,0,-184580,13000,149000,-136000,158814,207394,-48580,5456369
9945,潤泰新,5978599,2648000,3330599,0,0,0,887000,0,887000,1065377,67000,0,67000,1017279,18902,998377,5282976
2330,台積電,13315712,8521522,4794190,0,0,0,559976,619566,-59590,509161,459100,102200,356900,255491,103230,152261,5243761
2801,彰銀,23107808,28568587,-5460779,0,0,0,9503000,35000,9468000,392076,914862,758000,156862,268426,33212,235214,4399297
6226,光鼎,5881050,2418004,3463046,0,0,0,0,0,0,862285,947285,85000,862285,0,0,0,4325331
2399,映泰,6802424,2575000,4227424,0,0,0,0,0,0,36075,9000,2000,7000,33895,4820,29075,4263499
2845,遠東銀,6819070,2909839,3909231,0,0,0,0,1000,-1000,-93025,53000,146000,-93000,975,1000,-25,3815206
2027,大成鋼,5583929,4019165,1564764,0,0,0,2044000,59000,1985000,150654,337000,306000,31000,196649,76995,119654,3700418
1710,東聯,5047026,1869645,3177381,0,0,0,0,0,0,521662,5000,10000,-5000,542417,15755,526662,3699043
1402,遠東新,10198551,4746000,5452551,0,0,0,0,1860000,-1860000,100517,66000,0,66000,35722,1205,34517,3693068
2103,台橡,4792993,1176066,3616927,0,0,0,0,0,0,21413,10000,9000,1000,49095,28682,20413,3638340
1727,中華化,6351279,2916223,3435056,0,0,0,0,0,0,138782,23000,85000,-62000,281080,80298,200782,3573838
1102,亞泥,7843522,4484000,3359522,0,0,0,180000,0,180000,5891,23000,0,23000,1891,19000,-17109,3545413
2880,華南金,14187215,8823954,5363261,0,0,0,0,2023000,-2023000,134275,63000,174,62826,205972,134523,71449,3474536
3036,文曄,9937855,9467780,470075,0,0,0,2582000,0,2582000,405663,272000,57000,215000,275686,85023,190663,3457738
2890,永豐金,20843695,25677665,-4833970,0,0,0,8002000,27000,7975000,25834,694000,891640,-197640,402924,179450,223474,3166864
2603,長榮,4076647,3499120,577527,0,0,0,2214000,0,2214000,351175,359000,225000,134000,260379,43204,217175,3142702
6133,金橋,4281779,1142000,3139779,0,0,0,0,0,0,964,2964,2000,964,0,0,0,3140743
3711,日月光投控,6883403,4420057,2463346,0,0,0,397000,22000,375000,216745,105700,61020,44680,229019,56954,172065,3055091
2820,華票,3343011,403074,2939937,0,0,0,0,0,0,6961,7000,39,6961,0,0,0,2946898
5876,上海商銀,5159582,3036040,2123542,0,0,0,575000,0,575000,170986,185000,14,184986,6000,20000,-14000,2869528
1310,台苯,7166180,4319328,2846852,0,0,0,0,0,0,-12000,3000,15000,-12000,0,0,0,2834852
1313,聯成,3778000,963000,2815000,0,0,0,0,0,0,3197,12000,19000,-7000,15386,5189,10197,2818197
