證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
00919,群益台灣精選高息,123320493,21230551,102089942,0,0,0,0,0,0,120645912,0,200000,-200000,127765871,6919959,120845912,222735854,
2317,鴻海,147821828,46931301,100890527,0,0,0,1803940,42639,1761301,1350686,710976,199660,511316,2858359,2018989,839370,104002514,
3481,群創,319869556,241558722,78310834,0,0,0,46900,0,46900,12993556,9208597,2884000,6324597,9409744,2740785,6668959,91351290,
00918,大華優利高填息30,25638210,1383200,24255010,0,0,0,0,0,0,38725155,0,0,0,40325482,1600327,38725155,62980165,
0056,元大高股息,60717834,21780235,38937599,0,0,0,0,0,0,17660832,14000,249000,-235000,18350374,454542,17895832,56598431,
2303,聯電,92779622,44954187,47825435,0,0,0,7151000,3410606,3740394,2270947,2374833,475760,1899073,3364145,2992271,371874,53836776,
00940,元大台灣價值高息,8172000,14014090,-5842090,0,0,0,0,0,0,45950853,2730000,0,2730000,50907100,7686247,43220853,40108763,
2344,華邦電,56889517,24152777,32736740,0,0,0,2794000,8000,2786000,1631802,768000,264000,504000,3386882,2259080,1127802,37154542,
2883,凱基金,53597363,13077561,40519802,0,0,0,1000000,8207000,-7207000,-220591,77152,15000,62152,564934,847677,-282743,33092211,
2301,光寶科,65691652,34382188,31309464,0,0,0,94265,89810,4455,1256459,199000,61000,138000,2202677,1084218,1118459,32570378,
00929,復華台灣科技優息,20189218,26264800,-6075582,0,0,0,0,0,0,35155780,35000,400000,-365000,51498406,15977626,35520780,29080198,
3231,緯創,37648154,11809368,25838786,0,0,0,109000,70000,39000,1706937,1475297,71000,1404297,1365351,1062711,302640,27584723,
2892,第一金,42063579,15452098,26611481,0,0,0,350000,27000,323000,244645,31000,58000,-27000,293645,22000,271645,27179126,
2337,旺宏,81435230,68014279,13420951,0,0,0,7584000,138000,7446000,1451495,1142000,453000,689000,1411666,649171,762495,22318446,
2408,南亞科,24083010,13785836,10297174,0,0,0,5861541,17000,5844541,1678029,894000,89000,805000,2829775,1956746,873029,17819744,
2382,廣達,29963289,12506793,17456496,0,0,0,281994,574667,-292673,52024,649585,570000,79585,107456,135017,-27561,17215847,
2890,永豐金,24626817,7900346,16726471,0,0,0,850000,38000,812000,-377316,33266,65000,-31734,184418,530000,-345582,17161155,
00900,富邦特選高股息30,11372000,1841000,9531000,0,0,0,0,0,0,7404119,0,0,0,9320074,1915955,7404119,16935119,
2027,大成鋼,20036120,3439300,16596820,0,0,0,670000,1312000,-642000,964386,913634,700000,213634,923804,173052,750752,16919206,
8150,南茂,37735561,21892260,15843301,0,0,0,100000,0,100000,275113,600000,90000,510000,867265,1102152,-234887,16218414,
00680L,元大美債20正2,884000,232000,652000,0,0,0,0,0,0,14842223,0,0,0,19799829,4957606,14842223,15494223,
2356,英業達,24919810,10481500,14438310,0,0,0,12000,216000,-204000,1110552,205858,48673,157185,1168164,214797,953367,15344862,
2891,中信金,50615646,27963942,22651704,0,0,0,800000,8606156,-7806156,176596,199000,28000,171000,674438,668842,5596,15022144,
009820,元大納斯達克精選,1748500,0,1748500,0,0,0,0,0,0,12669000,0,0,0,13473000,804000,12669000,14417500,
2409,友達,84607863,70184627,14423236,0,0,0,16000,0,16000,-1001607,58000,52000,6000,1506488,2514095,-1007607,13437629,
1101,台泥,25994004,13059299,12934705,0,0,0,0,0,0,-254760,70000,474000,-404000,1103890,954650,149240,12679945,
00915,凱基優選高股息30,6589000,143000,6446000,0,0,0,0,0,0,5987917,0,0,0,10096917,4109000,5987917,12433917,
3706,神達,15800804,4833805,10966999,0,0,0,2000,991,1009,1353266,541000,64000,477000,1042535,166269,876266,12321274,
00637L,元大滬深300正2,424000,4937000,-4513000,0,0,0,0,0,0,16649073,200000,0,200000,26038602,9589529,16449073,12136073,
00878,國泰永續高股息,15082601,27050730,-11968129,0,0,0,0,0,0,23998105,362000,0,362000,44217887,20581782,23636105,12029976,
3033,威健,19345000,7532000,11813000,0,0,0,0,15958,-15958,-665910,372183,1620549,-1248366,623850,41394,582456,11131132,
2882,國泰金,27563789,14307744,13256045,0,0,0,584000,3727039,-3143039,-68550,131000,41000,90000,364470,523020,-158550,10044456,
00713,元大台灣高息低波,659250,32000,627250,0,0,0,0,0,0,8730966,0,0,0,9034966,304000,8730966,9358216,
00664R,國泰臺灣加權反1,0,0,0,0,0,0,0,0,0,9045986,0,0,0,17213000,8167014,9045986,9045986,
2426,鼎元,15971603,8078200,7893403,0,0,0,0,0,0,974031,479138,102000,377138,1323219,726326,596893,8867434,
2887,台新新光金,126785236,72181900,54603336,0,0,0,1056000,44933000,-43877000,-1910307,53000,95266,-42266,504959,2373000,-1868041,8816029,
1605,華新,15843588,7637014,8206574,0,0,0,0,0,0,176820,163000,26000,137000,496210,456390,39820,8383394,
00882,中信中國高股息,558000,120400,437600,0,0,0,0,0,0,7814834,0,0,0,8428172,613338,7814834,8252434,
00688L,國泰20年美債正2,89000,0,89000,0,0,0,0,0,0,7125788,0,0,0,7634988,509200,7125788,7214788,
2376,技嘉,12879501,6353948,6525553,0,0,0,129000,632000,-503000,1042337,564994,164546,400448,895743,253854,641889,7064890,
1326,台化,11086930,4144000,6942930,0,0,0,0,0,0,-183441,39219,132000,-92781,129276,219936,-90660,6759489,
2881,富邦金,17272916,6846003,10426913,0,0,0,253938,4049962,-3796024,3680,72393,75000,-2607,173287,167000,6287,6634569,
2312,金寶,13092000,6617000,6475000,0,0,0,0,0,0,-73994,220000,228000,-8000,38757,104751,-65994,6401006,
2603,長榮,8519904,1717520,6802384,0,0,0,95394,1251374,-1155980,506962,523000,0,523000,377413,393451,-16038,6153366,
00665L,富邦恒生國企正2,935000,812000,123000,0,0,0,0,0,0,5846161,0,0,0,9813388,3967227,5846161,5969161,
2377,微星,8865542,3471635,5393907,0,0,0,2000,132000,-130000,470670,141000,0,141000,404592,74922,329670,5734577,
00939,統一台灣高息動能,5527000,1010000,4517000,0,0,0,0,0,0,1070687,0,0,0,4069732,2999045,1070687,5587687,
00946,群益科技高息成長,8559000,389000,8170000,0,0,0,0,0,0,-2748074,0,0,0,4919532,7667606,-2748074,5421926,
6116,彩晶,9460000,4941000,4519000,0,0,0,0,0,0,801080,908000,118000,790000,21088,10008,11080,5320080,
00936,台新永續高息中小,148000,176000,-28000,0,0,0,0,0,0,5239065,0,0,0,6317709,1078644,5239065,5211065,
