排名,證券代號,證券名稱,投信買賣超股數
1,2883,凱基金,95005000
2,2881,富邦金,40314000
3,1402,遠東新,25058000
4,2382,廣達,17760000
5,2105,正新,14010573
6,4938,和碩,13450998
7,2887,台新新光金,10753000
8,2542,興富發,8991000
9,2855,統一證,8775899
10,5871,中租-KY,8346744
11,2347,聯強,7707291
12,1210,大成,4974000
13,9910,豐泰,3823000
14,9941,裕融,3588766
15,1319,東陽,3354029
16,2379,瑞昱,2655000
17,1303,南亞,1851000
18,2597,潤弘,1710000
19,6890,來億-KY,1660000
20,2884,玉山金,1432000
21,2885,元大金,1306000
22,2880,華南金,1172000
23,2882,國泰金,1030000
24,2892,第一金,974000
25,2886,兆豐金,899000
26,2890,永豐金,836000
27,8454,富邦媒,802000
28,3376,新日興,750000
29,2330,台積電,730000
30,2801,彰銀,678000
