排名,證券代號,證券名稱,投信買賣超股數
1,1303,南亞,5860000
2,2303,聯電,4304236
3,1301,台塑,2612000
4,3702,大聯大,2562000
5,2301,光寶科,2514697
6,1402,遠東新,1251705
7,2855,統一證,1190000
8,2441,超豐,747000
9,2486,一詮,702000
10,3045,台灣大,680210
11,2395,研華,609000
12,2884,玉山金,576457
13,8996,高力,563905
14,3605,宏致,453000
15,2330,台積電,324430
16,6472,保瑞,258000
17,6257,矽格,240000
18,2542,興富發,221000
19,2633,台灣高鐵,212000
20,3665,貿聯-KY,202992
21,6805,富世達,181000
22,3231,緯創,156940
23,3017,奇鋐,148000
24,2892,第一金,139769
25,5876,上海商銀,139000
26,2464,盟立,114000
27,3167,大量,113000
28,2886,兆豐金,98932
29,2317,鴻海,97619
30,2368,金像電,92978
