排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-5474000
2,1402,遠東新,-2387025
3,2408,南亞科,-1525000
4,2492,華新科,-1523000
5,3711,日月光投控,-972000
6,2356,英業達,-966000
7,2308,台達電,-964339
8,6449,鈺邦,-718000
9,2880,華南金,-627200
10,2472,立隆電,-558000
11,3706,神達,-502000
12,2313,華通,-451000
13,4938,和碩,-389000
14,3450,聯鈞,-387000
15,3008,大立光,-285913
16,2324,仁寶,-266000
17,1440,南紡,-252000
18,6442,光聖,-245000
19,2610,華航,-231000
20,1216,統一,-221421
21,2515,中工,-220000
22,2006,東和鋼鐵,-202886
23,1101,台泥,-201000
24,2885,元大金,-197000
25,1904,正隆,-192000
26,2903,遠百,-185000
27,9907,統一實,-184050
28,2883,凱基金,-183000
29,2368,金像電,-181000
30,2458,義隆,-174000
