排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,14663724
2,1303,南亞,13225714
3,2883,凱基金,10520086
4,3231,緯創,9288339
5,2880,華南金,8526000
6,2882,國泰金,6596709
7,2881,富邦金,5904525
8,2834,臺企銀,4742954
9,2886,兆豐金,4646631
10,2801,彰銀,4244253
11,5880,合庫金,4020432
12,2812,台中銀,3904676
13,2885,元大金,3892626
14,2449,京元電子,3719708
15,4958,臻鼎-KY,2859655
16,3036,文曄,2599427
17,2892,第一金,2295232
18,6005,群益證,2206151
19,2409,友達,1315445
20,1714,和桐,1088000
21,2324,仁寶,1061555
22,1326,台化,852000
23,2637,慧洋-KY,847000
24,3037,欣興,763577
25,1560,中砂,694000
26,2049,上銀,659616
27,3017,奇鋐,571000
28,2351,順德,550000
29,6139,亞翔,548000
30,3665,貿聯-KY,541995
