排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-10084822
2,2481,強茂,-5624000
3,2313,華通,-4391000
4,2327,國巨*,-3988294
5,1303,南亞,-3403000
6,2027,大成鋼,-2905000
7,2489,瑞軒,-2000000
8,8039,台虹,-1946000
9,6271,同欣電,-1285000
10,3042,晶技,-1187000
11,2308,台達電,-1084364
12,6505,台塑化,-1042000
13,6770,力積電,-906000
14,3532,台勝科,-752000
15,4958,臻鼎-KY,-585581
16,3376,新日興,-500000
17,3026,禾伸堂,-481000
18,2454,聯發科,-377829
19,3167,大量,-356000
20,2492,華新科,-321000
21,3090,日電貿,-314000
22,2337,旺宏,-288000
23,8996,高力,-268000
24,3481,群創,-243953
25,6139,亞翔,-236000
26,6239,力成,-231196
27,3443,創意,-156386
28,3189,景碩,-150904
29,1504,東元,-147000
30,6831,邁科,-96000
