排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-6914000
2,3037,欣興,-4448000
3,1717,長興,-1995000
4,2408,南亞科,-1954000
5,8046,南電,-1163000
6,2337,旺宏,-1008000
7,2376,技嘉,-558000
8,2834,臺企銀,-388316
9,8021,尖點,-373000
10,4551,智伸科,-350000
11,2330,台積電,-322024
12,6285,啟碁,-213375
13,1560,中砂,-209000
14,2383,台光電,-208500
15,4958,臻鼎-KY,-208000
16,6139,亞翔,-152000
17,3008,大立光,-141000
18,6239,力成,-116000
19,6442,光聖,-105000
20,2233,宇隆,-100000
21,2449,京元電子,-99000
22,2455,全新,-98000
23,6831,邁科,-98000
24,2059,川湖,-89500
25,3042,晶技,-89000
26,5880,合庫金,-73000
27,6782,視陽,-65000
28,2345,智邦,-63900
29,3036,文曄,-60000
30,3189,景碩,-55000
