排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,19556148
2,2892,第一金,18791470
3,2886,兆豐金,17353069
4,2887,台新新光金,10909121
5,1402,遠東新,8061767
6,2845,遠東銀,7815000
7,2890,永豐金,7737936
8,2633,台灣高鐵,7420000
9,5876,上海商銀,5074000
10,2880,華南金,4935093
11,2881,富邦金,4671247
12,2327,國巨*,2939196
13,2891,中信金,2612233
14,2882,國泰金,2452547
15,2408,南亞科,2241034
16,2884,玉山金,2183903
17,3026,禾伸堂,2153000
18,3090,日電貿,1938000
19,2404,漢唐,1462000
20,2344,華邦電,1401595
21,2504,國產,1377601
22,3231,緯創,1260864
23,2377,微星,990000
24,2455,全新,989000
25,2382,廣達,951179
26,4722,國精化,859000
27,4958,臻鼎-KY,858690
28,2912,統一超,834861
29,3037,欣興,828440
30,3532,台勝科,807000
