排名,證券代號,證券名稱,投信買賣超股數
1,1303,南亞,40655919
2,2344,華邦電,39706473
3,2886,兆豐金,27780261
4,4904,遠傳,24990715
5,2890,永豐金,24827248
6,2880,華南金,21572581
7,2892,第一金,16351687
8,2408,南亞科,15734608
9,1402,遠東新,11646078
10,2884,玉山金,11399472
11,2845,遠東銀,10662000
12,1216,統一,9348925
13,2633,台灣高鐵,9009000
14,3231,緯創,7961460
15,5876,上海商銀,7002000
16,3481,群創,6658889
17,1513,中興電,3466000
18,2504,國產,2429000
19,2492,華新科,2334500
20,2382,廣達,2059206
21,3189,景碩,1589107
22,2327,國巨*,1362051
23,2377,微星,995000
24,8926,台汽電,968000
25,6415,矽力*-KY,906000
26,2912,統一超,835000
27,8046,南電,746083
28,2412,中華電,656837
29,3596,智易,521000
30,6670,復盛應用,416801
