排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,9172304
2,2890,永豐金,6935084
3,3231,緯創,6582800
4,2884,玉山金,5673290
5,2891,中信金,5258879
6,2892,第一金,5072208
7,2882,國泰金,4093396
8,2886,兆豐金,3529537
9,2801,彰銀,3306000
10,1303,南亞,3008287
11,2353,宏碁,2520577
12,2610,華航,2394000
13,2618,長榮航,2344855
14,4938,和碩,1549000
15,2027,大成鋼,1501000
16,2455,全新,1421000
17,2313,華通,1396000
18,2855,統一證,1108000
19,2449,京元電子,1074270
20,2542,興富發,954000
21,2454,聯發科,851091
22,4958,臻鼎-KY,758861
23,2301,光寶科,749730
24,2368,金像電,724800
25,2376,技嘉,673849
26,6505,台塑化,672368
27,2379,瑞昱,580977
28,2356,英業達,537885
29,2603,長榮,537402
30,2382,廣達,484206
