排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-8976000
2,2834,臺企銀,-4314740
3,2812,台中銀,-3312000
4,5880,合庫金,-3264000
5,2880,華南金,-2636630
6,8046,南電,-2319000
7,2892,第一金,-1997000
8,2408,南亞科,-1992000
9,3037,欣興,-1912000
10,6005,群益證,-1851000
11,1714,和桐,-1809000
12,3189,景碩,-1426000
13,2368,金像電,-1298000
14,2409,友達,-1129000
15,2324,仁寶,-777000
16,2886,兆豐金,-688000
17,2327,國巨*,-648000
18,4958,臻鼎-KY,-589000
19,6415,矽力*-KY,-527000
20,2441,超豐,-498000
21,2347,聯強,-481914
22,1504,東元,-476000
23,2801,彰銀,-475000
24,1301,台塑,-474000
25,6805,富世達,-425000
26,2201,裕隆,-417000
27,2345,智邦,-353000
28,2105,正新,-346889
29,1736,喬山,-340000
30,2412,中華電,-329000
