排名,證券代號,證券名稱,投信買賣超股數
1,2618,長榮航,7481000
2,2610,華航,5498000
3,2892,第一金,3234000
4,2884,玉山金,3005000
5,2887,台新新光金,2006000
6,2603,長榮,1961700
7,2542,興富發,1911000
8,2891,中信金,1892000
9,5871,中租-KY,1746000
10,3605,宏致,1569100
11,2890,永豐金,1456000
12,2303,聯電,1374000
13,2882,國泰金,1307000
14,2801,彰銀,1165000
15,2027,大成鋼,1082000
16,2412,中華電,970000
17,2317,鴻海,967926
18,4904,遠傳,946000
19,2474,可成,680000
20,2382,廣達,673000
21,2006,東和鋼鐵,630000
22,2633,台灣高鐵,598000
23,6805,富世達,590000
24,3037,欣興,575000
25,2368,金像電,505000
26,8112,至上,495000
27,2606,裕民,447000
28,5876,上海商銀,390000
29,2404,漢唐,353000
30,1560,中砂,329300
