排名,證券代號,證券名稱,投信買賣超股數
1,3231,緯創,14547000
2,1402,遠東新,3571000
3,2891,中信金,3353000
4,2618,長榮航,3324857
5,2882,國泰金,3242000
6,2542,興富發,3213000
7,5876,上海商銀,2966000
8,2481,強茂,2850000
9,1102,亞泥,2803973
10,2027,大成鋼,2098000
11,2890,永豐金,1771000
12,3706,神達,1647000
13,2897,王道銀行,1530000
14,2885,元大金,1505000
15,4938,和碩,1499886
16,2603,長榮,1494395
17,2855,統一證,1366648
18,2887,台新新光金,1333000
19,3045,台灣大,1205000
20,4763,材料*-KY,1202000
21,2633,台灣高鐵,1027000
22,2881,富邦金,937000
23,2903,遠百,894000
24,1229,聯華,842000
25,3532,台勝科,806000
26,2006,東和鋼鐵,739493
27,2455,全新,713000
28,2884,玉山金,671000
29,3090,日電貿,619000
30,1808,潤隆,586000
