排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,17459251
2,2887,台新新光金,10101196
3,2382,廣達,7683133
4,4958,臻鼎-KY,5134000
5,2327,國巨*,4872031
6,3090,日電貿,3797511
7,2344,華邦電,3179348
8,6239,力成,2974000
9,2881,富邦金,2826981
10,8150,南茂,2704000
11,1210,大成,1692000
12,4915,致伸,1644878
13,2006,東和鋼鐵,1623093
14,2903,遠百,1400000
15,2610,華航,1248995
16,2206,三陽工業,1242696
17,6271,同欣電,1057000
18,2408,南亞科,943765
19,9917,中保科,918000
20,3231,緯創,804361
21,3042,晶技,778000
22,6805,富世達,742000
23,8021,尖點,707000
24,2481,強茂,657000
25,6196,帆宣,623000
26,8210,勤誠,510000
27,5243,乙盛-KY,500000
28,6278,台表科,479606
29,1303,南亞,401667
30,2912,統一超,378307
