排名,證券代號,證券名稱,投信買賣超股數
1,2610,華航,-14862450
2,2883,凱基金,-8705929
3,2303,聯電,-3644577
4,2618,長榮航,-2955009
5,2891,中信金,-2583428
6,2885,元大金,-2128479
7,2882,國泰金,-1528536
8,4904,遠傳,-1321959
9,2368,金像電,-1170706
10,2330,台積電,-1036431
11,2890,永豐金,-994554
12,2317,鴻海,-889920
13,2881,富邦金,-876472
14,2412,中華電,-853901
15,3045,台灣大,-814777
16,1802,台玻,-803000
17,5880,合庫金,-710962
18,2603,長榮,-644754
19,2884,玉山金,-635463
20,3231,緯創,-580662
21,3376,新日興,-559000
22,2886,兆豐金,-498482
23,2356,英業達,-319880
24,1560,中砂,-285000
25,2301,光寶科,-264024
26,2454,聯發科,-240080
27,2357,華碩,-239519
28,2892,第一金,-227545
29,6005,群益證,-218535
30,3014,聯陽,-208000
