排名,證券代號,證券名稱,投信買賣超股數
1,3231,緯創,-10276000
2,2303,聯電,-6691000
3,2049,上銀,-1540000
4,2327,國巨*,-1520000
5,3665,貿聯-KY,-1215000
6,2357,華碩,-1179000
7,2337,旺宏,-861000
8,8028,昇陽半導體,-801000
9,2317,鴻海,-800000
10,2356,英業達,-747000
11,2204,中華,-695000
12,2458,義隆,-554227
13,4764,雙鍵,-528000
14,6196,帆宣,-458000
15,2912,統一超,-352000
16,9938,百和,-338000
17,2801,彰銀,-332000
18,5434,崇越,-243000
19,6715,嘉基,-192000
20,2344,華邦電,-187000
21,2891,中信金,-181000
22,3706,神達,-171000
23,2376,技嘉,-167000
24,9802,鈺齊-KY,-153000
25,2645,長榮航太,-145000
26,3026,禾伸堂,-145000
27,3189,景碩,-142000
28,2881,富邦金,-140000
29,2454,聯發科,-128000
30,6442,光聖,-115000
