排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,37035644
2,2886,兆豐金,32401000
3,2890,永豐金,30661000
4,2880,華南金,25343000
5,2884,玉山金,22770000
6,2892,第一金,19339000
7,2408,南亞科,15911000
8,4904,遠傳,15144000
9,1402,遠東新,13928000
10,1303,南亞,11009450
11,2633,台灣高鐵,10502000
12,1216,統一,9269026
13,2845,遠東銀,8470000
14,3231,緯創,7671000
15,2883,凱基金,7576000
16,2481,強茂,7576000
17,5876,上海商銀,6203000
18,1513,中興電,4521000
19,2327,國巨*,3350000
20,3189,景碩,3176414
21,2504,國產,3161127
22,2382,廣達,2864402
23,3037,欣興,2754000
24,6213,聯茂,1357000
25,2317,鴻海,1167885
26,9945,潤泰新,1159000
27,8926,台汽電,1127000
28,2404,漢唐,1125000
29,2377,微星,1056000
30,6770,力積電,799000
