排名,證券代號,證券名稱,投信買賣超股數
1,2618,長榮航,-11667700
2,6285,啟碁,-6514000
3,2885,元大金,-5663047
4,4904,遠傳,-4883817
5,1102,亞泥,-4380955
6,6005,群益證,-4120059
7,9904,寶成,-2883608
8,8046,南電,-2327000
9,3711,日月光投控,-2247330
10,2347,聯強,-2139915
11,2027,大成鋼,-1853000
12,2441,超豐,-1702000
13,9907,統一實,-1433699
14,4938,和碩,-1428013
15,2308,台達電,-1336027
16,3017,奇鋐,-1292136
17,2360,致茂,-986822
18,2883,凱基金,-913205
19,3665,貿聯-KY,-913143
20,6278,台表科,-855000
21,8028,昇陽半導體,-737000
22,2393,億光,-735741
23,4576,大銀微系統,-707000
24,2105,正新,-646998
25,3036,文曄,-636769
26,3010,華立,-621000
27,2049,上銀,-620000
28,2317,鴻海,-595574
29,2337,旺宏,-593000
30,2472,立隆電,-574000
