排名,證券代號,證券名稱,投信買賣超股數
1,3231,緯創,-9905383
2,2337,旺宏,-9252000
3,2303,聯電,-7729375
4,2027,大成鋼,-6583000
5,3711,日月光投控,-5689540
6,2891,中信金,-4747456
7,1216,統一,-3159000
8,8150,南茂,-2686000
9,3702,大聯大,-2220000
10,2330,台積電,-2051006
11,2317,鴻海,-1673106
12,2449,京元電子,-1627836
13,2356,英業達,-1503297
14,2881,富邦金,-1293540
15,5871,中租-KY,-1263000
16,4904,遠傳,-1199119
17,2912,統一超,-941000
18,2882,國泰金,-882386
19,3045,台灣大,-877772
20,2454,聯發科,-822252
21,2308,台達電,-800703
22,2327,國巨*,-773255
23,6415,矽力*-KY,-615000
24,6278,台表科,-613000
25,8028,昇陽半導體,-575000
26,2382,廣達,-568872
27,3090,日電貿,-528000
28,3017,奇鋐,-519000
29,5876,上海商銀,-477000
30,6196,帆宣,-423000
