排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,32987000
2,2303,聯電,15859412
3,2886,兆豐金,8578398
4,2344,華邦電,4412000
5,2883,凱基金,2641000
6,2881,富邦金,2532280
7,1210,大成,2357000
8,4915,致伸,2337000
9,4958,臻鼎-KY,2252000
10,3090,日電貿,1736000
11,6239,力成,1629203
12,6278,台表科,1438000
13,2408,南亞科,1251674
14,2903,遠百,1226000
15,3037,欣興,985000
16,1303,南亞,880000
17,6271,同欣電,805000
18,2327,國巨*,789700
19,2912,統一超,769803
20,1802,台玻,652000
21,2353,宏碁,640000
22,3042,晶技,610700
23,6415,矽力*-KY,567000
24,2454,聯發科,536226
25,1216,統一,497000
26,5871,中租-KY,466000
27,3189,景碩,437095
28,2006,東和鋼鐵,426000
29,2002,中鋼,420000
30,2382,廣達,404570
