排名,證券代號,證券名稱,投信買賣超股數
1,3481,群創,-4898002
2,3231,緯創,-3973287
3,4958,臻鼎-KY,-3164181
4,8046,南電,-1491045
5,1402,遠東新,-1313070
6,6239,力成,-1231175
7,2880,華南金,-1139430
8,2881,富邦金,-1102504
9,2313,華通,-1032430
10,2344,華邦電,-855220
11,2345,智邦,-785580
12,2383,台光電,-772021
13,6669,緯穎,-716626
14,2472,立隆電,-656000
15,2356,英業達,-518874
16,6442,光聖,-463000
17,7769,鴻勁,-456010
18,6515,穎崴,-453500
19,4938,和碩,-375000
20,8210,勤誠,-335000
21,2360,致茂,-264075
22,3706,神達,-240000
23,2801,彰銀,-209000
24,2301,光寶科,-162084
25,2368,金像電,-134046
26,6213,聯茂,-112000
27,3034,聯詠,-103834
28,9941,裕融,-100000
29,9802,鈺齊-KY,-100000
30,2458,義隆,-98000
