排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-27264690
2,2885,元大金,-13353063
3,3711,日月光投控,-8220000
4,2006,東和鋼鐵,-5604664
5,6005,群益證,-4495252
6,2324,仁寶,-4227000
7,1102,亞泥,-4193506
8,2449,京元電子,-3807000
9,2301,光寶科,-3701000
10,6176,瑞儀,-3557000
11,9904,寶成,-3417661
12,1319,東陽,-3385052
13,2887,台新新光金,-3384000
14,2891,中信金,-2955416
15,2308,台達電,-2746000
16,9907,統一實,-2503285
17,2347,聯強,-2187786
18,2368,金像電,-1951000
19,2441,超豐,-1811000
20,1477,聚陽,-1565202
21,2454,聯發科,-1471300
22,8150,南茂,-1443000
23,4938,和碩,-1237083
24,6278,台表科,-893000
25,6285,啟碁,-889000
26,3010,華立,-791000
27,2360,致茂,-698000
28,4958,臻鼎-KY,-594000
29,2881,富邦金,-502042
30,2603,長榮,-485463
