排名,證券代號,證券名稱,投信買賣超股數
1,2891,中信金,-29617082
2,2880,華南金,-10329944
3,2882,國泰金,-9667900
4,2618,長榮航,-5395942
5,3702,大聯大,-5263136
6,2883,凱基金,-4041295
7,2337,旺宏,-3061000
8,2637,慧洋-KY,-2255215
9,2603,長榮,-1818298
10,6706,惠特,-1293000
11,2347,聯強,-1206198
12,2441,超豐,-875000
13,2308,台達電,-839403
14,2313,華通,-819000
15,2885,元大金,-814199
16,2357,華碩,-696090
17,3036,文曄,-646741
18,2474,可成,-556704
19,8112,至上,-459843
20,3189,景碩,-414000
21,8046,南電,-325000
22,2845,遠東銀,-269000
23,6531,愛普*,-255000
24,2884,玉山金,-254348
25,4938,和碩,-229004
26,2458,義隆,-214853
27,6005,群益證,-209689
28,2383,台光電,-184224
29,5434,崇越,-183000
30,6669,緯穎,-177022
