排名,證券代號,證券名稱,投信買賣超股數
1,2801,彰銀,6073000
2,2887,台新新光金,5486000
3,2890,永豐金,5357000
4,2884,玉山金,4386000
5,2303,聯電,4381000
6,2603,長榮,4197600
7,2892,第一金,3923000
8,2845,遠東銀,3825000
9,2891,中信金,3131182
10,2886,兆豐金,3063000
11,1303,南亞,2900289
12,2883,凱基金,2189000
13,2352,佳世達,2126000
14,2885,元大金,1838000
15,3231,緯創,1228000
16,2855,統一證,1188300
17,2851,中再保,1171000
18,2313,華通,1137617
19,2637,慧洋-KY,1026000
20,2882,國泰金,826000
21,2317,鴻海,799600
22,2327,國巨*,740002
23,3532,台勝科,636000
24,2376,技嘉,612000
25,2542,興富發,550700
26,2330,台積電,532435
27,2881,富邦金,509000
28,2633,台灣高鐵,455000
29,9941,裕融,448000
30,8028,昇陽半導體,425000
