排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-3982622
2,2313,華通,-1981495
3,3532,台勝科,-1289392
4,2801,彰銀,-863357
5,3665,貿聯-KY,-607097
6,2345,智邦,-490643
7,8028,昇陽半導體,-440843
8,2458,義隆,-438933
9,9938,百和,-407000
10,6669,緯穎,-398975
11,3661,世芯-KY,-327021
12,8210,勤誠,-318516
13,2891,中信金,-260180
14,1590,亞德客-KY,-227897
15,2344,華邦電,-191815
16,2892,第一金,-187329
17,2882,國泰金,-181060
18,9802,鈺齊-KY,-178000
19,2454,聯發科,-167457
20,2436,偉詮電,-157000
21,6768,志強-KY,-149000
22,3583,辛耘,-135390
23,3653,健策,-127944
24,3042,晶技,-122193
25,2337,旺宏,-89468
26,1773,勝一,-68017
27,3037,欣興,-67792
28,1314,中石化,-66604
29,3481,群創,-60103
30,6415,矽力*-KY,-53823
