排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,7900796
2,2449,京元電子,4558342
3,2308,台達電,3392561
4,1303,南亞,3134000
5,8028,昇陽半導體,2935000
6,3450,聯鈞,2067000
7,2382,廣達,1675299
8,2455,全新,1525000
9,2610,華航,1110000
10,2891,中信金,1043032
11,2618,長榮航,905000
12,2884,玉山金,771315
13,6805,富世達,771000
14,3036,文曄,750540
15,2330,台積電,734606
16,2887,台新新光金,725000
17,2327,國巨*,687326
18,2883,凱基金,579766
19,2404,漢唐,572000
20,2886,兆豐金,567002
21,2542,興富發,565999
22,3711,日月光投控,541577
23,1560,中砂,509000
24,3665,貿聯-KY,418334
25,5880,合庫金,407000
26,2317,鴻海,406651
27,1513,中興電,394999
28,6505,台塑化,326792
29,2454,聯發科,312803
30,2892,第一金,309276
