排名,證券代號,證券名稱,投信買賣超股數
1,2881,富邦金,-25524118
2,2882,國泰金,-19875149
3,1402,遠東新,-19104000
4,2303,聯電,-19010829
5,2449,京元電子,-10894339
6,2324,仁寶,-10057000
7,2885,元大金,-9863801
8,2884,玉山金,-6468797
9,1605,華新,-5762000
10,3481,群創,-5530000
11,2883,凱基金,-3910182
12,2313,華通,-3901000
13,2474,可成,-2951068
14,3702,大聯大,-2508000
15,4958,臻鼎-KY,-2338000
16,2371,大同,-1962000
17,3036,文曄,-1875871
18,6278,台表科,-1705000
19,2609,陽明,-1483700
20,3005,神基,-1384918
21,2454,聯發科,-1279609
22,6005,群益證,-1212970
23,2402,毅嘉,-835000
24,8046,南電,-792000
25,2353,宏碁,-718000
26,2105,正新,-716483
27,2834,臺企銀,-691284
28,3711,日月光投控,-673952
29,3665,貿聯-KY,-665976
30,2439,美律,-606157
