排名,證券代號,證券名稱,投信買賣超股數
1,1303,南亞,18605187
2,2887,台新新光金,8023938
3,2408,南亞科,5422340
4,2337,旺宏,2675000
5,2449,京元電子,2629794
6,3037,欣興,2539189
7,2382,廣達,2533522
8,2313,華通,2390000
9,5876,上海商銀,2371000
10,1402,遠東新,1974155
11,6505,台塑化,1926743
12,2880,華南金,1849548
13,8046,南電,1563644
14,2344,華邦電,1441401
15,2027,大成鋼,1268673
16,3711,日月光投控,1065788
17,8039,台虹,1053000
18,5871,中租-KY,767000
19,3026,禾伸堂,596000
20,3167,大量,542000
21,2542,興富發,500000
22,3532,台勝科,478000
23,4958,臻鼎-KY,443819
24,2633,台灣高鐵,404000
25,2006,東和鋼鐵,367000
26,3665,貿聯-KY,330414
27,3090,日電貿,265000
28,2327,國巨*,260419
29,2206,三陽工業,253000
30,1210,大成,227000
