排名,證券代號,證券名稱,投信買賣超股數
1,2882,國泰金,-8530045
2,2885,元大金,-5834995
3,2886,兆豐金,-5024975
4,2880,華南金,-4364791
5,6239,力成,-2618835
6,2887,台新新光金,-2448561
7,3661,世芯-KY,-2126268
8,8039,台虹,-1991000
9,2881,富邦金,-1921652
10,1402,遠東新,-1913390
11,5880,合庫金,-1878809
12,3481,群創,-1832293
13,2891,中信金,-1613535
14,2412,中華電,-1132314
15,2892,第一金,-1115255
16,2890,永豐金,-992176
17,2357,華碩,-977208
18,1216,統一,-960975
19,8422,可寧衛*,-909000
20,2356,英業達,-885339
21,4904,遠傳,-882567
22,2615,萬海,-786715
23,6669,緯穎,-677007
24,2345,智邦,-670784
25,2883,凱基金,-633893
26,2383,台光電,-580397
27,3711,日月光投控,-560598
28,2317,鴻海,-544169
29,6005,群益證,-540321
30,2472,立隆電,-500000
