排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-24161920
2,2885,元大金,-10291425
3,1102,亞泥,-7989481
4,2353,宏碁,-7183826
5,9904,寶成,-5982000
6,4938,和碩,-5739000
7,6005,群益證,-5254944
8,9907,統一實,-4897000
9,2337,旺宏,-3505000
10,2324,仁寶,-3498773
11,6239,力成,-2867785
12,3036,文曄,-2695886
13,2449,京元電子,-2593020
14,2441,超豐,-2551000
15,1319,東陽,-2372000
16,2301,光寶科,-2099008
17,2481,強茂,-1972000
18,3005,神基,-1633000
19,2385,群光,-1497234
20,6176,瑞儀,-1488635
21,2357,華碩,-1325953
22,2308,台達電,-1049786
23,2006,東和鋼鐵,-1031000
24,2883,凱基金,-1016779
25,3711,日月光投控,-953450
26,2454,聯發科,-941719
27,3010,華立,-835000
28,6257,矽格,-811199
29,2393,億光,-746295
30,2887,台新新光金,-720633
