排名,證券代號,證券名稱,投信買賣超股數
1,2880,華南金,7874085
2,2313,華通,7088000
3,3037,欣興,5933000
4,3231,緯創,5570000
5,2885,元大金,5350341
6,2881,富邦金,4902285
7,2882,國泰金,4519000
8,2886,兆豐金,4182245
9,2834,臺企銀,3306000
10,2801,彰銀,3052000
11,3711,日月光投控,2971547
12,2481,強茂,2770050
13,2812,台中銀,2619000
14,3036,文曄,2150000
15,5880,合庫金,1824000
16,2327,國巨*,1762268
17,2449,京元電子,1662737
18,2408,南亞科,1648000
19,2344,華邦電,1308000
20,2454,聯發科,1293567
21,2892,第一金,1234000
22,2891,中信金,1215235
23,6005,群益證,1204000
24,3450,聯鈞,929000
25,2368,金像電,885000
26,2441,超豐,833000
27,2049,上銀,782000
28,8039,台虹,750000
29,2409,友達,733000
30,2356,英業達,707000
