排名,證券代號,證券名稱,投信買賣超股數
1,2356,英業達,-8270863
2,6005,群益證,-4896773
3,2353,宏碁,-3773090
4,4904,遠傳,-3372846
5,2618,長榮航,-3150027
6,9904,寶成,-3103399
7,2882,國泰金,-2762337
8,2105,正新,-2523336
9,4938,和碩,-2325638
10,2891,中信金,-2158403
11,2368,金像電,-2084140
12,3045,台灣大,-2035023
13,2347,聯強,-1913344
14,8150,南茂,-1852000
15,5876,上海商銀,-1787000
16,3231,緯創,-1777214
17,2481,強茂,-1765000
18,6505,台塑化,-1628841
19,2303,聯電,-1113428
20,2385,群光,-1041997
21,2603,長榮,-1035334
22,2885,元大金,-787108
23,1504,東元,-733336
24,9907,統一實,-729674
25,2645,長榮航太,-714000
26,2606,裕民,-689000
27,3034,聯詠,-672002
28,2357,華碩,-614145
29,9910,豐泰,-563000
30,3376,新日興,-500000
