排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,11099147
2,2891,中信金,7811723
3,2887,台新新光金,7383252
4,4958,臻鼎-KY,5692688
5,2845,遠東銀,4399000
6,2313,華通,4380000
7,1303,南亞,4339000
8,2882,國泰金,4182687
9,2884,玉山金,4095543
10,2618,長榮航,3757010
11,1402,遠東新,3641102
12,2801,彰銀,3263000
13,2449,京元電子,3123527
14,2542,興富發,3108000
15,2353,宏碁,2850462
16,5871,中租-KY,2513031
17,3406,玉晶光,2422500
18,2382,廣達,2326880
19,1102,亞泥,2156487
20,2368,金像電,2129932
21,2855,統一證,1966673
22,2881,富邦金,1542742
23,4938,和碩,1460896
24,2357,華碩,1291261
25,5876,上海商銀,1264000
26,2897,王道銀行,1252000
27,3231,緯創,1141778
28,2027,大成鋼,1023000
29,4763,材料*-KY,989000
30,2002,中鋼,970000
