排名,證券代號,證券名稱,投信買賣超股數
1,2610,華航,-14555000
2,3481,群創,-6181230
3,2481,強茂,-2756000
4,2492,華新科,-2472000
5,3090,日電貿,-2447000
6,2618,長榮航,-2289819
7,2327,國巨*,-1962897
8,3026,禾伸堂,-1042000
9,8422,可寧衛*,-765000
10,2303,聯電,-660818
11,6271,同欣電,-615000
12,2472,立隆電,-578000
13,6415,矽力*-KY,-468000
14,2368,金像電,-366819
15,2603,長榮,-317807
16,6830,汎銓,-315000
17,3017,奇鋐,-291059
18,2360,致茂,-281544
19,6005,群益證,-281000
20,6831,邁科,-279000
21,3443,創意,-257506
22,6770,力積電,-246000
23,8996,高力,-121000
24,2301,光寶科,-112150
25,2645,長榮航太,-112000
26,6670,復盛應用,-110000
27,2455,全新,-96000
28,2493,揚博,-92000
29,3665,貿聯-KY,-86410
30,3661,世芯-KY,-70768
