排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-9471000
2,1303,南亞,-5067000
3,2408,南亞科,-2388001
4,3711,日月光投控,-2167000
5,2885,元大金,-1998000
6,2330,台積電,-1287718
7,3231,緯創,-954000
8,3706,神達,-927000
9,1504,東元,-740000
10,6669,緯穎,-536001
11,2345,智邦,-485001
12,2441,超豐,-474000
13,2383,台光電,-405000
14,2393,億光,-331252
15,1808,潤隆,-329000
16,2881,富邦金,-326000
17,2454,聯發科,-288900
18,7769,鴻勁,-277552
19,4958,臻鼎-KY,-275000
20,3450,聯鈞,-274000
21,2327,國巨*,-266000
22,2317,鴻海,-263000
23,9941,裕融,-252184
24,3443,創意,-252000
25,2360,致茂,-237000
26,3045,台灣大,-233000
27,2376,技嘉,-210000
28,1560,中砂,-195000
29,6442,光聖,-179000
30,2449,京元電子,-177710
