排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-34484005
2,2881,富邦金,-29133782
3,1402,遠東新,-28366845
4,2882,國泰金,-21169128
5,2884,玉山金,-18101899
6,2883,凱基金,-10313613
7,2324,仁寶,-7725935
8,2885,元大金,-7216020
9,2449,京元電子,-5045926
10,2313,華通,-3001000
11,2474,可成,-2683604
12,4958,臻鼎-KY,-2618127
13,9904,寶成,-2252862
14,8046,南電,-1987000
15,1102,亞泥,-1460511
16,2801,彰銀,-1400000
17,6239,力成,-1044391
18,2353,宏碁,-897665
19,6415,矽力*-KY,-843000
20,3665,貿聯-KY,-819107
21,2454,聯發科,-623680
22,3036,文曄,-615967
23,2486,一詮,-580000
24,2368,金像電,-548988
25,2402,毅嘉,-516000
26,3702,大聯大,-491832
27,2451,創見,-424000
28,6805,富世達,-388000
29,2467,志聖,-346781
30,3533,嘉澤,-319000
