排名,證券代號,證券名稱,投信買賣超股數
1,2885,元大金,-12473047
2,3711,日月光投控,-6790000
3,1102,亞泥,-5598696
4,2006,東和鋼鐵,-5574950
5,2887,台新新光金,-5562676
6,3042,晶技,-5514000
7,2891,中信金,-5209267
8,1319,東陽,-4680765
9,6005,群益證,-4293217
10,2301,光寶科,-4098000
11,2449,京元電子,-3900000
12,6176,瑞儀,-3547974
13,9904,寶成,-3395627
14,8046,南電,-3241738
15,9907,統一實,-2475404
16,4958,臻鼎-KY,-2419091
17,2324,仁寶,-2382741
18,2308,台達電,-2153752
19,2347,聯強,-1990921
20,4938,和碩,-1982013
21,2454,聯發科,-1912579
22,1477,聚陽,-1785062
23,2441,超豐,-1746000
24,2618,長榮航,-1700880
25,2027,大成鋼,-1274000
26,3665,貿聯-KY,-1266427
27,2368,金像電,-1147952
28,2105,正新,-1093855
29,2385,群光,-1018435
30,2356,英業達,-1007512
