排名,證券代號,證券名稱,投信買賣超股數
1,2892,第一金,20870448
2,1402,遠東新,15870544
3,2845,遠東銀,12134000
4,2633,台灣高鐵,11229000
5,5876,上海商銀,10004000
6,2344,華邦電,8023085
7,2890,永豐金,6708224
8,2886,兆豐金,5646897
9,3037,欣興,4756257
10,8422,可寧衛*,3749000
11,2884,玉山金,3717812
12,2408,南亞科,3698373
13,3045,台灣大,3665309
14,2352,佳世達,3648000
15,1303,南亞,3627959
16,3231,緯創,3593575
17,2356,英業達,3563419
18,3706,神達,3421000
19,3189,景碩,3418572
20,4904,遠傳,3365512
21,8046,南電,3280042
22,2412,中華電,3184199
23,2377,微星,3180000
24,2504,國產,2887568
25,2882,國泰金,2843380
26,2382,廣達,2613258
27,8112,至上,2233382
28,8926,台汽電,2203000
29,6191,精成科,2134000
30,4915,致伸,2033000
