排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-4974000
2,2027,大成鋼,-3573000
3,2360,致茂,-2553000
4,2883,凱基金,-2115000
5,2887,台新新光金,-2052000
6,2618,長榮航,-1941000
7,1102,亞泥,-1915000
8,1402,遠東新,-1890000
9,2633,台灣高鐵,-1664000
10,1216,統一,-1643000
11,2308,台達電,-1555022
12,9907,統一實,-1375614
13,2897,王道銀行,-1334000
14,5876,上海商銀,-1323000
15,2337,旺宏,-1228000
16,4904,遠傳,-1020000
17,2890,永豐金,-973000
18,3045,台灣大,-945638
19,2646,星宇航空,-894000
20,2412,中華電,-855939
21,9938,百和,-801430
22,2382,廣達,-682000
23,3481,群創,-666000
24,2606,裕民,-601000
25,2501,國建,-566000
26,3702,大聯大,-562000
27,2371,大同,-532000
28,2317,鴻海,-520491
29,5871,中租-KY,-478000
30,2884,玉山金,-442687
