排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,27909000
2,1303,南亞,23317000
3,2801,彰銀,9468000
4,2884,玉山金,8685000
5,2887,台新新光金,8063000
6,2890,永豐金,7975000
7,2892,第一金,6181000
8,6505,台塑化,5451000
9,2886,兆豐金,3715000
10,2891,中信金,3698000
11,2382,廣達,3040000
12,9904,寶成,3027000
13,2542,興富發,3013000
14,2618,長榮航,2641000
15,3036,文曄,2582000
16,2603,長榮,2214000
17,3231,緯創,2001000
18,2027,大成鋼,1985000
19,8028,昇陽半導體,1971000
20,2481,強茂,1908000
21,2376,技嘉,1412000
22,4763,材料*-KY,1269000
23,2610,華航,1218000
24,2633,台灣高鐵,949000
25,9945,潤泰新,887000
26,3450,聯鈞,869000
27,2353,宏碁,814000
28,3702,大聯大,781000
29,3026,禾伸堂,752000
30,5876,上海商銀,575000
