排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-74092871
2,1102,亞泥,-14869617
3,2344,華邦電,-10161445
4,2324,仁寶,-8933000
5,2353,宏碁,-7946206
6,9904,寶成,-5994982
7,2882,國泰金,-5952420
8,2327,國巨*,-4196803
9,9907,統一實,-3713797
10,6005,群益證,-3001611
11,3036,文曄,-2668000
12,3005,神基,-2514181
13,6239,力成,-2232797
14,2301,光寶科,-2065000
15,2385,群光,-1455373
16,1402,遠東新,-1283000
17,2006,東和鋼鐵,-1235230
18,2455,全新,-999000
19,2885,元大金,-916768
20,2317,鴻海,-832035
21,1210,大成,-797000
22,6176,瑞儀,-772184
23,2206,三陽工業,-767000
24,4938,和碩,-737499
25,3044,健鼎,-735000
26,2883,凱基金,-691830
27,2454,聯發科,-678596
28,1319,東陽,-656025
29,3711,日月光投控,-655480
30,2439,美律,-585015
