排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-35310574
2,2881,富邦金,-33586830
3,2882,國泰金,-22601950
4,2303,聯電,-17510617
5,2324,仁寶,-8693663
6,2353,宏碁,-8396131
7,2408,南亞科,-6968625
8,9910,豐泰,-3982000
9,3036,文曄,-3902323
10,2883,凱基金,-3885906
11,3005,神基,-3664365
12,3044,健鼎,-3344220
13,6239,力成,-3219000
14,4938,和碩,-3026571
15,6005,群益證,-2792000
16,2385,群光,-1707889
17,6176,瑞儀,-1469259
18,2504,國產,-1456000
19,5871,中租-KY,-1095892
20,2887,台新新光金,-1073209
21,2393,億光,-865490
22,2301,光寶科,-730395
23,3006,晶豪科,-643000
24,2327,國巨*,-630152
25,2481,強茂,-624000
26,3090,日電貿,-599000
27,2439,美律,-586174
28,5388,中磊,-544717
29,8210,勤誠,-371000
30,1802,台玻,-338000
