排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,9137959
2,3231,緯創,7484228
3,2883,凱基金,6046877
4,5880,合庫金,4998031
5,2891,中信金,3496407
6,2885,元大金,2322193
7,2368,金像電,1948869
8,2633,台灣高鐵,1787000
9,2408,南亞科,1778130
10,2890,永豐金,1558703
11,2327,國巨*,1483121
12,2542,興富發,1432000
13,2892,第一金,1420208
14,2881,富邦金,1393214
15,1402,遠東新,1355123
16,2882,國泰金,1211251
17,2884,玉山金,915796
18,4915,致伸,893000
19,2903,遠百,858000
20,2618,長榮航,784077
21,5871,中租-KY,766578
22,2610,華航,763000
23,2330,台積電,736974
24,2382,廣達,659545
25,3026,禾伸堂,648000
26,2855,統一證,599000
27,3044,健鼎,592913
28,2886,兆豐金,586260
29,3702,大聯大,579000
30,3481,群創,564151
