排名,證券代號,證券名稱,投信買賣超股數
1,2610,華航,5571000
2,2618,長榮航,4165419
3,2884,玉山金,3052000
4,8028,昇陽半導體,2309000
5,2890,永豐金,2057000
6,2542,興富發,1799000
7,2891,中信金,1768000
8,2882,國泰金,1604000
9,3042,晶技,1179000
10,3189,景碩,984001
11,3605,宏致,974000
12,2603,長榮,941196
13,2382,廣達,762000
14,5876,上海商銀,757000
15,4770,上品,730000
16,2845,遠東銀,728000
17,2368,金像電,659999
18,2892,第一金,643000
19,2404,漢唐,613000
20,6213,聯茂,600000
21,2633,台灣高鐵,466000
22,2379,瑞昱,461000
23,2027,大成鋼,455000
24,2308,台達電,420000
25,3702,大聯大,414000
26,8112,至上,359000
27,2886,兆豐金,359000
28,5880,合庫金,338000
29,3653,健策,247000
30,4915,致伸,237815
